Jahr;Migrationsstatus;Geschlecht;Beruflicher Bildungsabschluss;Anzahl;Anzahl_Einheit;Bevölkerung   ;value_q
2020;Spätaussiedler;Insgesamt;Nicht in schulischer oder beruflicher Ausbildung;622;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Spätaussiedler;männlich;Nicht in schulischer oder beruflicher Ausbildung;263;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ausländer ohne eigene Migrationserfahrung;männlich;Ohne beruflichen Bildungsabschluss;252;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ohne Migrationshintergrund;Insgesamt;Ohne beruflichen Bildungsabschluss;10750;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche ohne eigene Migrationserfahrung;männlich;Promotion;25;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ausländer mit eigener Migrationserfahrung;Insgesamt;Bachelor;470;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Deutsche ohne eigene Migrationserfahrung;weiblich;Mit beruflichem Bildungsabschluss;966;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Spätaussiedler;männlich;Nicht in schulischer oder beruflicher Ausbildung;294;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Spätaussiedler;Insgesamt;Fachschulabschluss;336;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Spätaussiedler;männlich;Master;22;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Deutsche mit eigener Migrationserfahrung;Insgesamt;Diplom;588;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Spätaussiedler;weiblich;Nicht in schulischer oder beruflicher Ausbildung;360;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche ohne eigene Migrationserfahrung;weiblich;Master;53;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Mit Migrationshintergrund;weiblich;Master;270;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Spätaussiedler;männlich;Mit beruflichem Bildungsabschluss;913;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Deutsche mit eigener Migrationserfahrung;Insgesamt;Promotion;73;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer ohne eigene Migrationserfahrung;Insgesamt;Bachelor;38;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Deutsche mit eigener Migrationserfahrung;Insgesamt;In schulischer oder beruflicher Ausbildung;140;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ausländer ohne eigene Migrationserfahrung;Insgesamt;Master;12;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;()
2022;Insgesamt;weiblich;Mit beruflichem Bildungsabschluss;25273;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Spätaussiedler;Insgesamt;Ohne beruflichen Bildungsabschluss;859;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Mit Migrationshintergrund;weiblich;Diplom;900;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Spätaussiedler;weiblich;In schulischer oder beruflicher Ausbildung;21;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ausländer ohne eigene Migrationserfahrung;weiblich;Fachschulabschluss;33;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Mit Migrationshintergrund;weiblich;Mit beruflichem Bildungsabschluss;4608;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Spätaussiedler;Insgesamt;Fachschulabschluss;308;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Mit Migrationshintergrund;weiblich;Nicht in schulischer oder beruflicher Ausbildung;3105;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer mit eigener Migrationserfahrung;weiblich;Promotion;53;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Deutsche ohne eigene Migrationserfahrung;Insgesamt;Fachschulabschluss;251;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Mit Migrationshintergrund;männlich;Ohne beruflichen Bildungsabschluss;4743;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Mit Migrationshintergrund;weiblich;Promotion;88;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Spätaussiedler;weiblich;Bachelor;44;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche mit eigener Migrationserfahrung;männlich;Master;69;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Mit Migrationshintergrund;weiblich;Bachelor;502;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer mit eigener Migrationserfahrung;männlich;Insgesamt;4886;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Deutsche ohne eigene Migrationserfahrung;weiblich;Bachelor;110;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer ohne eigene Migrationserfahrung;weiblich;Master;/;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;
2021;Spätaussiedler;männlich;Insgesamt;1263;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Mit Migrationshintergrund;männlich;Master;424;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Deutsche mit eigener Migrationserfahrung;weiblich;Fachschulabschluss;303;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ausländer ohne eigene Migrationserfahrung;Insgesamt;In schulischer oder beruflicher Ausbildung;119;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ausländer ohne eigene Migrationserfahrung;Insgesamt;Lehre / Berufsausbildung;357;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Insgesamt;weiblich;Fachschulabschluss;3651;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Mit Migrationshintergrund;Insgesamt;Lehre / Berufsausbildung;4640;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ausländer ohne eigene Migrationserfahrung;weiblich;Mit beruflichem Bildungsabschluss;224;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Mit Migrationshintergrund;weiblich;Fachschulabschluss;610;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Mit Migrationshintergrund;Insgesamt;Promotion;257;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Spätaussiedler;Insgesamt;Lehre / Berufsausbildung;1146;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ohne Migrationshintergrund;Insgesamt;Nicht in schulischer oder beruflicher Ausbildung;7085;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche ohne eigene Migrationserfahrung;männlich;Akademische Abschlüsse;324;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Deutsche ohne eigene Migrationserfahrung;weiblich;Ohne beruflichen Bildungsabschluss;838;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Spätaussiedler;weiblich;Mit beruflichem Bildungsabschluss;973;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Mit Migrationshintergrund;männlich;Nicht in schulischer oder beruflicher Ausbildung;3403;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche mit eigener Migrationserfahrung;männlich;Lehre / Berufsausbildung;922;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Deutsche mit eigener Migrationserfahrung;männlich;Ohne beruflichen Bildungsabschluss;684;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Mit Migrationshintergrund;weiblich;In schulischer oder beruflicher Ausbildung;1086;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ausländer mit eigener Migrationserfahrung;weiblich;Insgesamt;3538;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ohne Migrationshintergrund;weiblich;Bachelor;716;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche mit eigener Migrationserfahrung;männlich;Insgesamt;2465;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ausländer mit eigener Migrationserfahrung;weiblich;Akademische Abschlüsse;865;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Deutsche mit eigener Migrationserfahrung;weiblich;Diplom;320;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Mit Migrationshintergrund;männlich;Akademische Abschlüsse;1597;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ohne Migrationshintergrund;männlich;Diplom;3675;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche ohne eigene Migrationserfahrung;Insgesamt;Promotion;45;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Spätaussiedler;weiblich;Master;16;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Mit Migrationshintergrund;Insgesamt;Master;598;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Mit Migrationshintergrund;Insgesamt;Fachschulabschluss;1537;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Deutsche mit eigener Migrationserfahrung;weiblich;Mit beruflichem Bildungsabschluss;1733;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ohne Migrationshintergrund;weiblich;Fachschulabschluss;3011;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer mit eigener Migrationserfahrung;Insgesamt;Promotion;115;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2024;Ausländer mit eigener Migrationserfahrung;männlich;Akademische Abschlüsse;975;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2024;Ohne Migrationshintergrund;weiblich;Mit beruflichem Bildungsabschluss;20711;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2024;Deutsche mit eigener Migrationserfahrung;männlich;Lehre / Berufsausbildung;910;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2022;Spätaussiedler;weiblich;Fachschulabschluss;165;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Mit Migrationshintergrund;Insgesamt;Nicht in schulischer oder beruflicher Ausbildung;7123;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2020;Deutsche ohne eigene Migrationserfahrung;männlich;Fachschulabschluss;117;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche mit eigener Migrationserfahrung;Insgesamt;Bachelor;227;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Deutsche ohne eigene Migrationserfahrung;Insgesamt;Insgesamt;3779;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ohne Migrationshintergrund;männlich;Akademische Abschlüsse;5728;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Mit Migrationshintergrund;männlich;Nicht in schulischer oder beruflicher Ausbildung;3626;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2020;Spätaussiedler;männlich;Promotion;11;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;()
2022;Mit Migrationshintergrund;Insgesamt;Ohne beruflichen Bildungsabschluss;8958;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Spätaussiedler;weiblich;Lehre / Berufsausbildung;573;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer mit eigener Migrationserfahrung;männlich;Nicht in schulischer oder beruflicher Ausbildung;2328;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2024;Mit Migrationshintergrund;Insgesamt;Mit beruflichem Bildungsabschluss;10731;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2020;Ausländer mit eigener Migrationserfahrung;weiblich;Nicht in schulischer oder beruflicher Ausbildung;1843;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ausländer mit eigener Migrationserfahrung;Insgesamt;In schulischer oder beruflicher Ausbildung;539;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ohne Migrationshintergrund;weiblich;Mit beruflichem Bildungsabschluss;20673;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ohne Migrationshintergrund;weiblich;Fachschulabschluss;3294;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2024;Deutsche mit eigener Migrationserfahrung;männlich;Master;81;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2020;Mit Migrationshintergrund;männlich;In schulischer oder beruflicher Ausbildung;1142;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Spätaussiedler;Insgesamt;Mit beruflichem Bildungsabschluss;1887;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Deutsche ohne eigene Migrationserfahrung;Insgesamt;Mit beruflichem Bildungsabschluss;1951;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Deutsche ohne eigene Migrationserfahrung;männlich;Diplom;156;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Spätaussiedler;männlich;Ohne beruflichen Bildungsabschluss;353;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer ohne eigene Migrationserfahrung;männlich;Promotion;/;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;
2023;Spätaussiedler;weiblich;In schulischer oder beruflicher Ausbildung;18;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer ohne eigene Migrationserfahrung;männlich;Insgesamt;565;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer mit eigener Migrationserfahrung;weiblich;Bachelor;380;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2020;Insgesamt;weiblich;Promotion;396;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer ohne eigene Migrationserfahrung;weiblich;Lehre / Berufsausbildung;182;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ausländer ohne eigene Migrationserfahrung;männlich;Ohne beruflichen Bildungsabschluss;244;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche ohne eigene Migrationserfahrung;Insgesamt;Insgesamt;3780;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ausländer mit eigener Migrationserfahrung;männlich;Bachelor;237;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ausländer ohne eigene Migrationserfahrung;männlich;Insgesamt;527;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche ohne eigene Migrationserfahrung;Insgesamt;Diplom;294;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Insgesamt;männlich;Bachelor;1366;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ausländer mit eigener Migrationserfahrung;weiblich;Nicht in schulischer oder beruflicher Ausbildung;2060;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Mit Migrationshintergrund;weiblich;In schulischer oder beruflicher Ausbildung;1033;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche mit eigener Migrationserfahrung;weiblich;Mit beruflichem Bildungsabschluss;1791;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ausländer mit eigener Migrationserfahrung;Insgesamt;Promotion;102;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ausländer ohne eigene Migrationserfahrung;weiblich;Diplom;18;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Deutsche mit eigener Migrationserfahrung;Insgesamt;Bachelor;185;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ausländer ohne eigene Migrationserfahrung;weiblich;Promotion;/;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;
2022;Spätaussiedler;Insgesamt;Master;43;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Spätaussiedler;männlich;Master;23;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2020;Insgesamt;Insgesamt;Insgesamt;70745;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Mit Migrationshintergrund;weiblich;Diplom;815;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche ohne eigene Migrationserfahrung;männlich;Ohne beruflichen Bildungsabschluss;986;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ausländer ohne eigene Migrationserfahrung;Insgesamt;Ohne beruflichen Bildungsabschluss;436;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche ohne eigene Migrationserfahrung;weiblich;Fachschulabschluss;136;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Deutsche ohne eigene Migrationserfahrung;weiblich;Lehre / Berufsausbildung;578;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Mit Migrationshintergrund;weiblich;Bachelor;432;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ausländer ohne eigene Migrationserfahrung;weiblich;Nicht in schulischer oder beruflicher Ausbildung;132;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Deutsche ohne eigene Migrationserfahrung;Insgesamt;Promotion;47;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche ohne eigene Migrationserfahrung;weiblich;Diplom;148;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche mit eigener Migrationserfahrung;männlich;Ohne beruflichen Bildungsabschluss;853;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Mit Migrationshintergrund;männlich;Ohne beruflichen Bildungsabschluss;4535;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Mit Migrationshintergrund;männlich;Ohne beruflichen Bildungsabschluss;4847;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Spätaussiedler;weiblich;Diplom;149;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer ohne eigene Migrationserfahrung;männlich;Insgesamt;527;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Ausländer ohne eigene Migrationserfahrung;weiblich;Nicht in schulischer oder beruflicher Ausbildung;133;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ohne Migrationshintergrund;weiblich;Lehre / Berufsausbildung;12549;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Spätaussiedler;Insgesamt;In schulischer oder beruflicher Ausbildung;32;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2024;Mit Migrationshintergrund;weiblich;Diplom;933;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Mit Migrationshintergrund;männlich;Master;384;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Mit Migrationshintergrund;Insgesamt;Bachelor;1126;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Insgesamt;weiblich;Nicht in schulischer oder beruflicher Ausbildung;7117;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Deutsche ohne eigene Migrationserfahrung;Insgesamt;Diplom;325;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2022;Mit Migrationshintergrund;Insgesamt;Nicht in schulischer oder beruflicher Ausbildung;6793;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Spätaussiedler;männlich;Lehre / Berufsausbildung;569;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Deutsche mit eigener Migrationserfahrung;weiblich;Nicht in schulischer oder beruflicher Ausbildung;903;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Mit Migrationshintergrund;weiblich;Promotion;91;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche ohne eigene Migrationserfahrung;weiblich;Mit beruflichem Bildungsabschluss;966;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Deutsche ohne eigene Migrationserfahrung;weiblich;Master;39;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ohne Migrationshintergrund;männlich;Ohne beruflichen Bildungsabschluss;4409;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche mit eigener Migrationserfahrung;weiblich;Nicht in schulischer oder beruflicher Ausbildung;915;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ohne Migrationshintergrund;männlich;Bachelor;825;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Spätaussiedler;männlich;Mit beruflichem Bildungsabschluss;882;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ohne Migrationshintergrund;weiblich;Diplom;3164;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Deutsche mit eigener Migrationserfahrung;weiblich;Bachelor;83;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ohne Migrationshintergrund;weiblich;Master;599;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Mit Migrationshintergrund;weiblich;In schulischer oder beruflicher Ausbildung;952;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Spätaussiedler;Insgesamt;Mit beruflichem Bildungsabschluss;1808;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Mit Migrationshintergrund;männlich;Lehre / Berufsausbildung;2476;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Spätaussiedler;weiblich;Ohne beruflichen Bildungsabschluss;384;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ausländer mit eigener Migrationserfahrung;weiblich;Nicht in schulischer oder beruflicher Ausbildung;2154;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Deutsche mit eigener Migrationserfahrung;weiblich;Diplom;348;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Ausländer mit eigener Migrationserfahrung;weiblich;Insgesamt;4393;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Spätaussiedler;männlich;Diplom;111;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Spätaussiedler;männlich;Akademische Abschlüsse;184;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer mit eigener Migrationserfahrung;Insgesamt;Bachelor;732;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Ausländer mit eigener Migrationserfahrung;weiblich;Master;184;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Insgesamt;weiblich;Lehre / Berufsausbildung;14784;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer ohne eigene Migrationserfahrung;Insgesamt;Akademische Abschlüsse;93;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2024;Ausländer mit eigener Migrationserfahrung;weiblich;In schulischer oder beruflicher Ausbildung;357;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2020;Ohne Migrationshintergrund;weiblich;Insgesamt;27381;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Spätaussiedler;Insgesamt;Master;42;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Deutsche mit eigener Migrationserfahrung;männlich;Ohne beruflichen Bildungsabschluss;832;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2020;Deutsche ohne eigene Migrationserfahrung;männlich;Promotion;31;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Spätaussiedler;männlich;Fachschulabschluss;125;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ausländer ohne eigene Migrationserfahrung;männlich;Lehre / Berufsausbildung;200;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche mit eigener Migrationserfahrung;weiblich;Diplom;317;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Insgesamt;männlich;Akademische Abschlüsse;7325;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche ohne eigene Migrationserfahrung;Insgesamt;Fachschulabschluss;248;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Spätaussiedler;Insgesamt;Lehre / Berufsausbildung;1186;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ausländer ohne eigene Migrationserfahrung;Insgesamt;Insgesamt;952;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Mit Migrationshintergrund;männlich;Akademische Abschlüsse;1517;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Spätaussiedler;Insgesamt;Nicht in schulischer oder beruflicher Ausbildung;690;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2024;Ausländer mit eigener Migrationserfahrung;männlich;Ohne beruflichen Bildungsabschluss;2754;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Ohne Migrationshintergrund;weiblich;Nicht in schulischer oder beruflicher Ausbildung;4368;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche mit eigener Migrationserfahrung;Insgesamt;Diplom;605;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer ohne eigene Migrationserfahrung;männlich;Bachelor;18;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;()
2021;Ausländer mit eigener Migrationserfahrung;weiblich;Lehre / Berufsausbildung;554;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Spätaussiedler;männlich;Nicht in schulischer oder beruflicher Ausbildung;323;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer mit eigener Migrationserfahrung;weiblich;Diplom;404;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2020;Ausländer mit eigener Migrationserfahrung;Insgesamt;Nicht in schulischer oder beruflicher Ausbildung;3691;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
